iter	Passed	Remaining
0	25	51197
1	50	49976
2	74	49302
3	109	54840
4	129	51660
5	148	49268
6	169	48194
7	193	48279
8	214	47471
9	232	46266
10	251	45429
11	269	44633
12	287	43921
13	307	43631
14	330	43681
15	354	43944
16	372	43483
17	395	43546
18	418	43610
19	439	43518
20	460	43435
21	483	43494
22	500	43039
23	524	43143
24	547	43266
25	567	43084
26	590	43162
27	612	43166
28	633	43069
29	658	43230
30	679	43160
31	701	43113
32	726	43319
33	751	43443
34	774	43480
35	800	43688
36	824	43720
37	849	43861
38	877	44113
39	899	44072
40	924	44170
41	948	44212
42	973	44309
43	997	44340
44	1021	44391
45	1048	44528
46	1072	44575
47	1099	44729
48	1121	44645
49	1143	44601
50	1164	44496
51	1207	45246
52	1233	45323
53	1259	45379
54	1282	45354
55	1312	45572
56	1342	45762
57	1372	45970
58	1404	46212
59	1433	46364
60	1459	46403
61	1485	46426
62	1507	46335
63	1533	46378
64	1560	46442
65	1585	46465
66	1611	46486
67	1627	46230
68	1647	46106
69	1673	46150
70	1700	46189
71	1727	46245
72	1754	46314
73	1772	46140
74	1796	46103
75	1822	46138
76	1851	46235
77	1875	46224
78	1900	46220
79	1926	46244
80	1952	46249
81	1977	46248
82	2005	46311
83	2032	46350
84	2056	46341
85	2082	46353
86	2107	46337
87	2136	46418
88	2161	46410
89	2187	46415
90	2209	46356
91	2231	46285
92	2257	46299
93	2286	46369
94	2311	46352
95	2336	46338
96	2358	46275
97	2385	46302
98	2411	46296
99	2439	46354
100	2462	46296
101	2489	46327
102	2513	46293
103	2542	46349
104	2569	46371
105	2593	46334
106	2616	46290
107	2640	46252
108	2664	46219
109	2686	46157
110	2713	46170
111	2738	46163
112	2765	46176
113	2786	46096
114	2806	46008
115	2829	45952
116	2857	45986
117	2878	45911
118	2901	45861
119	2923	45798
120	2945	45742
121	2968	45696
122	2992	45662
123	3014	45604
124	3037	45560
125	3062	45553
126	3083	45481
127	3108	45454
128	3132	45439
129	3155	45389
130	3181	45384
131	3207	45390
132	3232	45378
133	3256	45354
134	3279	45308
135	3304	45288
136	3330	45294
137	3355	45269
138	3380	45259
139	3404	45225
140	3426	45181
141	3456	45231
142	3482	45229
143	3505	45185
144	3530	45171
145	3558	45184
146	3583	45166
147	3609	45171
148	3633	45134
149	3658	45124
150	3682	45093
151	3704	45038
152	3728	45008
153	3750	44957
154	3777	44962
155	3797	44883
156	3823	44879
157	3850	44887
158	3879	44919
159	3902	44874
160	3928	44870
161	3952	44849
162	3976	44816
163	4000	44791
164	4031	44834
165	4053	44788
166	4076	44740
167	4097	44687
168	4123	44677
169	4151	44691
170	4177	44678
171	4202	44666
172	4225	44621
173	4249	44597
174	4276	44596
175	4299	44560
176	4322	44519
177	4347	44497
178	4370	44462
179	4392	44417
180	4415	44372
181	4444	44391
182	4465	44337
183	4489	44308
184	4511	44258
185	4538	44266
186	4565	44263
187	4588	44228
188	4616	44231
189	4642	44222
190	4668	44219
191	4692	44189
192	4711	44113
193	4735	44082
194	4759	44053
195	4789	44082
196	4818	44100
197	4846	44108
198	4872	44094
199	4899	44095
200	4923	44064
201	4946	44029
202	4981	44097
203	5004	44063
204	5032	44063
205	5055	44027
206	5079	43997
207	5103	43964
208	5125	43921
209	5146	43871
210	5172	43855
211	5193	43804
212	5217	43772
213	5242	43749
214	5266	43721
215	5286	43664
216	5308	43620
217	5333	43597
218	5358	43580
219	5384	43568
220	5412	43565
221	5437	43549
222	5462	43529
223	5491	43537
224	5520	43548
225	5543	43512
226	5566	43481
227	5588	43430
228	5613	43412
229	5635	43368
230	5658	43330
231	5680	43288
232	5702	43246
233	5725	43209
