iter	R2	RMSE
0	-1.91047804	22392.91157
1	-1.663731538	21422.67149
2	-1.439866704	20502.71864
3	-1.236713731	19630.60135
4	-1.054321799	18813.19855
5	-0.8889574414	18040.12275
6	-0.7373455923	17301.01211
7	-0.6009579305	16608.03921
8	-0.476920803	15951.70118
9	-0.3645820664	15333.03869
10	-0.2632417924	14752.70453
11	-0.1707967082	14202.64226
12	-0.0879135431	13690.69809
13	-0.01285714126	13209.99031
14	0.05715692593	12745.24268
15	0.1192488082	12318.4204
16	0.176377504	11912.21441
17	0.2287346024	11527.37245
18	0.2757845662	11170.23448
19	0.3189695293	10832.07538
20	0.3575646123	10520.66349
21	0.3922604167	10232.62747
22	0.4248332586	9954.63371
23	0.4543966851	9695.426132
24	0.4812893852	9453.463885
25	0.5062035918	9223.640446
26	0.5285783653	9012.248462
27	0.5486457723	8818.346489
28	0.5675775324	8631.425514
29	0.5849913612	8455.844157
30	0.6011919367	8289.157029
31	0.6155673983	8138.390173
32	0.6284832556	8000.508628
33	0.6408626225	7866.086271
34	0.6522746836	7740.099742
35	0.662135241	7629.566263
36	0.6714199695	7524.003424
37	0.6804048257	7420.420358
38	0.6882182052	7329.152834
39	0.6955344409	7242.649826
40	0.702204106	7162.881302
41	0.7086435411	7085.014229
42	0.7143761175	7014.96746
43	0.7199505276	6946.175967
44	0.7257025255	6874.471347
45	0.7302183411	6817.64859
46	0.7340809537	6768.666617
47	0.7380095475	6718.481633
48	0.7415376909	6673.090453
49	0.7455793727	6620.709938
50	0.7491820069	6573.66769
51	0.7531502359	6521.458875
52	0.7565049854	6476.993163
53	0.759500073	6437.035083
54	0.7620792324	6402.426152
55	0.7647435038	6366.477579
56	0.767156893	6333.738001
57	0.7694277608	6302.776548
58	0.7715989905	6273.030675
59	0.7737072552	6244.011825
60	0.7756754106	6216.799235
61	0.7776026874	6190.035921
62	0.7794884478	6163.73665
63	0.7809479	6143.305491
64	0.7823094809	6124.182994
65	0.7838808062	6102.040293
66	0.7852431928	6082.776662
67	0.7865472393	6064.28062
68	0.7877956534	6046.520636
69	0.7888648254	6031.268983
70	0.78977351	6018.276286
71	0.7907069385	6004.900521
72	0.791698872	5990.653665
73	0.792626127	5977.305059
74	0.79348682	5964.887936
75	0.7942961533	5953.188145
76	0.7952023445	5940.060823
77	0.7962154381	5925.350454
78	0.7969750165	5914.297188
79	0.797575727	5905.541092
80	0.7981935069	5896.522628
81	0.7989413065	5885.587623
82	0.799604515	5875.87256
83	0.8001879588	5867.312636
84	0.8009243051	5856.491562
85	0.8014554894	5848.673042
86	0.8022434294	5837.056038
87	0.8027632658	5829.379149
88	0.8032476178	5822.217179
89	0.8037125909	5815.333462
90	0.8043704243	5805.580591
91	0.8049132963	5797.519753
92	0.8055667555	5787.801971
93	0.806134628	5779.343704
94	0.8065780042	5772.73115
95	0.8072667551	5762.444006
96	0.8076668524	5756.459735
97	0.8080579484	5750.604078
98	0.8085530743	5743.182276
99	0.809024999	5736.099316
100	0.8095673842	5727.948021
101	0.8099587608	5722.058961
102	0.8103416503	5716.291737
103	0.8109964482	5706.415419
104	0.8115262604	5698.411733
105	0.8119548605	5691.928788
106	0.8122952418	5686.774963
107	0.8126143968	5681.938285
108	0.8129291102	5677.164882
109	0.8132273859	5672.637091
110	0.8137188534	5665.168778
111	0.8142318181	5657.363277
112	0.8147599441	5649.315808
