iter	RMSE
0	12710.78613
1	12318.9307
2	11949.50226
3	11611.91228
4	11292.7095
5	10990.96721
6	10713.77844
7	10453.14858
8	10196.4667
9	9965.263008
10	9740.549936
11	9535.542351
12	9343.326694
13	9151.695913
14	8982.876236
15	8813.110871
16	8662.279041
17	8519.108292
18	8377.927956
19	8248.236937
20	8127.41979
21	8006.125924
22	7894.401947
23	7788.426086
24	7680.381503
25	7585.28881
26	7498.109388
27	7417.837129
28	7331.948434
29	7239.798888
30	7156.511494
31	7077.152549
32	7006.803816
33	6941.963757
34	6876.637928
35	6818.831443
36	6765.72396
37	6715.621615
38	6666.389576
39	6620.876899
40	6579.646097
41	6534.761302
42	6496.598539
43	6457.847016
44	6424.876901
45	6393.813325
46	6358.533465
47	6330.227493
48	6305.01536
49	6282.09376
50	6255.738514
51	6231.815895
52	6207.665742
53	6186.846766
54	6167.120405
55	6142.637551
56	6123.00993
57	6104.615266
58	6082.212056
59	6065.253412
60	6050.373533
61	6035.037543
62	6019.231299
63	6005.357303
64	5990.627101
65	5972.214171
66	5961.56236
67	5947.748684
68	5935.6479
69	5922.06973
70	5909.314581
71	5894.573574
72	5882.184783
73	5871.577855
74	5858.816756
75	5849.147711
76	5838.54669
77	5829.338613
78	5818.514956
79	5808.34977
80	5799.840501
81	5789.364335
82	5779.968602
83	5771.812337
84	5759.583128
85	5750.982052
86	5740.887559
87	5733.057884
88	5725.074898
89	5715.462956
90	5707.166309
91	5699.891603
92	5694.451495
93	5686.69108
94	5679.834947
95	5672.289741
96	5666.931869
97	5660.261849
98	5655.964112
99	5650.798153
100	5645.464442
101	5638.205474
102	5630.854605
103	5624.647516
104	5617.529979
105	5613.319816
106	5603.225193
107	5598.087946
108	5592.818384
109	5589.006262
110	5585.669445
111	5580.753237
112	5575.431141
113	5569.991973
114	5563.702157
115	5558.708458
116	5553.841434
117	5548.629341
118	5543.798903
119	5539.750101
120	5536.056309
121	5529.524458
122	5524.48205
123	5521.557231
124	5518.751622
125	5512.943013
126	5507.847387
127	5502.49996
128	5498.529067
129	5493.533367
130	5487.311227
131	5483.571258
132	5475.766112
133	5472.137284
134	5463.190319
135	5458.616678
136	5453.95415
137	5449.027001
138	5444.744928
139	5439.28028
140	5434.616976
141	5430.263513
142	5424.062309
143	5419.808639
144	5414.617532
145	5410.662778
146	5407.353104
147	5404.234648
148	5398.691347
149	5395.119859
150	5392.123995
151	5387.740808
152	5382.327984
153	5377.923541
154	5375.583148
155	5373.531847
156	5370.323698
157	5366.759694
158	5360.516814
159	5358.106943
160	5354.517981
161	5348.896653
162	5345.751823
163	5342.839447
164	5338.270737
165	5334.049523
166	5330.27904
167	5325.771947
168	5321.491448
169	5318.311936
170	5315.465868
171	5308.092222
172	5304.809165
173	5299.083201
174	5294.696357
175	5291.443434
176	5289.276838
177	5283.992446
178	5279.203825
179	5272.611155
180	5265.549496
181	5261.310294
182	5258.492737
183	5255.206275
184	5253.067049
185	5249.870601
186	5246.032422
187	5240.477898
188	5237.356044
189	5234.258504
190	5232.130117
191	5230.392244
192	5228.183293
193	5224.93416
194	5221.249865
195	5218.243588
196	5216.334058
197	5210.770752
198	5208.437754
199	5206.170146
200	5199.487026
201	5194.974279
202	5191.036698
203	5186.333598
204	5182.84095
205	5180.627455
206	5178.076153
207	5175.546377
208	5174.178134
209	5170.608248
210	5168.081854
211	5164.211463
212	5161.492972
213	5159.347414
214	5157.107717
215	5155.478823
216	5153.163403
217	5149.173238
218	5146.04914
219	5143.742935
220	5142.029594
221	5138.587369
222	5134.904586
223	5132.645205
224	5128.713694
225	5126.340751
226	5124.853235
227	5120.862944
228	5118.133578
229	5116.162409
230	5112.045735
231	5108.589356
232	5106.826014
233	5105.203665
234	5102.59504
235	5099.502311
236	5097.715353
237	5095.549705
238	5093.189168
239	5091.689674
240	5090.006094
241	5086.61714
242	5085.021695
243	5082.166878
244	5078.992885
245	5075.656236
246	5071.536652
247	5068.843581
248	5066.63447
249	5064.27979
250	5061.584527
251	5057.69177
252	5055.354998
253	5052.221502
254	5049.800088
255	5047.09005
256	5045.371723
257	5042.437087
258	5039.562563
259	5036.351973
260	5033.246792
261	5031.367384
