iter	Passed	Remaining
0	26	53667
1	50	50409
2	71	47281
3	89	44865
4	110	44057
5	132	43887
6	150	42915
7	166	41398
8	188	41623
9	206	41136
10	229	41467
11	249	41284
12	268	41087
13	285	40414
14	307	40696
15	327	40650
16	349	40749
17	363	40024
18	385	40167
19	404	40071
20	428	40396
21	450	40511
22	472	40581
23	495	40805
24	519	41039
25	544	41293
26	565	41328
27	584	41147
28	602	40896
29	624	40990
30	645	40972
31	664	40872
32	684	40799
33	708	40933
34	730	41002
35	750	40943
36	769	40826
37	791	40853
38	812	40822
39	830	40679
40	848	40536
41	866	40386
42	885	40267
43	910	40436
44	930	40394
45	952	40452
46	977	40604
47	1000	40647
48	1022	40678
49	1039	40533
50	1063	40637
51	1084	40602
52	1107	40656
53	1127	40598
54	1147	40542
55	1168	40556
56	1191	40592
57	1212	40588
58	1237	40699
59	1259	40687
60	1291	41019
61	1316	41144
62	1336	41074
63	1359	41105
64	1379	41031
65	1403	41092
66	1420	40963
67	1447	41093
68	1474	41241
69	1497	41262
70	1519	41266
71	1538	41188
72	1562	41220
73	1583	41184
74	1609	41280
75	1629	41224
76	1654	41286
77	1677	41325
78	1696	41242
79	1717	41198
80	1740	41204
81	1759	41145
82	1781	41118
83	1799	41017
84	1821	41025
85	1843	41003
86	1862	40933
87	1883	40911
88	1904	40880
89	1925	40845
90	1947	40835
91	1971	40857
92	1990	40797
93	2018	40915
94	2037	40836
95	2059	40820
96	2080	40802
97	2108	40896
98	2123	40762
99	2147	40778
100	2168	40756
101	2188	40693
102	2211	40716
103	2230	40634
104	2254	40674
105	2275	40639
106	2300	40681
107	2320	40629
108	2342	40622
109	2367	40648
110	2389	40650
111	2404	40511
112	2427	40513
113	2453	40570
114	2476	40578
115	2498	40560
116	2520	40538
117	2538	40462
118	2558	40415
119	2581	40425
120	2604	40418
121	2624	40385
122	2646	40371
123	2668	40357
124	2686	40277
125	2706	40236
126	2728	40216
127	2749	40193
128	2772	40197
129	2792	40140
130	2812	40107
131	2832	40064
132	2852	40023
